no,file,question,source,url,what_to_verify,status(未確認/一致/不一致),checked_by,checked_on
039,039_inbound_onsen-etiquette.md,Q. What do people get wrong about onsen etiquette in Japan?,Ministry of the Environment — Hot Spring Act notices and guidelines,https://www.env.go.jp/nature/onsen/docs/index.html,Confirm wording against the Ministry of the Environment notice (環自総発第1407012号) before publication.,,,
039,039_inbound_onsen-etiquette.md,Q. What do people get wrong about onsen etiquette in Japan?,"Japan Tourism Agency survey on tattooed bathers (2015), as reported by Nikkei",https://www.nikkei.com/article/DGXLASDG22H1Q_S5A021C1000000/,Confirm wording against the Ministry of the Environment notice (環自総発第1407012号) before publication.,,,
044,044_inbound_tattoos-and-bathing.md,Q. What do people get wrong about tattoos and bathing in Japan?,"Nikkei, ""56% of facilities refuse tattooed bathers — first Japan Tourism Agency survey"" (2015)",https://www.nikkei.com/article/DGXLASDG22H1Q_S5A021C1000000/,Survey figures as reported by Nikkei (October 2015) and Travel Voice (March 2016). Confirm against Japan Tourism Agency material before publication.,,,
044,044_inbound_tattoos-and-bathing.md,Q. What do people get wrong about tattoos and bathing in Japan?,"Travel Voice, ""Japan Tourism Agency publishes response examples for tattooed foreign bathers"" (17 March 2016)",https://www.travelvoice.jp/20160317-63167,Survey figures as reported by Nikkei (October 2015) and Travel Voice (March 2016). Confirm against Japan Tourism Agency material before publication.,,,
044,044_inbound_tattoos-and-bathing.md,Q. What do people get wrong about tattoos and bathing in Japan?,Japan Tourism Agency,https://www.mlit.go.jp/kankocho/,Survey figures as reported by Nikkei (October 2015) and Travel Voice (March 2016). Confirm against Japan Tourism Agency material before publication.,,,
049,049_inbound_tap-water.md,Q. What do people get wrong about tap water in Japan?,Ministry of the Environment — water quality standard items and values,https://www.env.go.jp/water/water_supply/kijun/kijunchi.html,Confirm the current parameter count (51 vs 52) and the 2025 revision on the Ministry of the Environment's page before publication.,,,
049,049_inbound_tap-water.md,Q. What do people get wrong about tap water in Japan?,Ministry of the Environment — outline of the 2025 revision to the Ordinance on Water Quality Standards (8 August 2025),https://www.env.go.jp/content/000334172.pdf,Confirm the current parameter count (51 vs 52) and the 2025 revision on the Ministry of the Environment's page before publication.,,,
049,049_inbound_tap-water.md,Q. What do people get wrong about tap water in Japan?,"Ministry of Land, Infrastructure, Transport and Tourism — on the transfer of water supply administration",https://www.mlit.go.jp/statistics/file000004/html/n2745c01.html,Confirm the current parameter count (51 vs 52) and the 2025 revision on the Ministry of the Environment's page before publication.,,,
054,054_inbound_souvenir-choices.md,Q. What do people get wrong about souvenir choices in Japan?,"Teikoku Databank, ""100-yen shop industry survey (fiscal 2025 outlook)""",https://www.tdb.co.jp/report/industry/20260402-100yenshop25y/,Market figure from Teikoku Databank (April 2026). Confirm before publication.,,,
054,054_inbound_souvenir-choices.md,Q. What do people get wrong about souvenir choices in Japan?,"Animal Quarantine Service, MAFF — souvenir meat products (taking out of Japan)",https://www.maff.go.jp/aqs/tetuzuki/product/aq1.html,Market figure from Teikoku Databank (April 2026). Confirm before publication.,,,
054,054_inbound_souvenir-choices.md,Q. What do people get wrong about souvenir choices in Japan?,Japan Customs — passenger clearance,https://www.customs.go.jp/english/summary/passenger.htm,Market figure from Teikoku Databank (April 2026). Confirm before publication.,,,
059,059_inbound_tax-free-shopping.md,Q. What do people get wrong about tax-free shopping in Japan?,National Tax Agency — consumption tax exemption for foreign visitors,https://www.nta.go.jp/taxes/shiraberu/taxanswer/shohi/6551.htm,"Confirm dates, thresholds and the refund procedure with the National Tax Agency before publication. **This article may be read after the change takes effect — state clearly which system applies.**",,,
059,059_inbound_tax-free-shopping.md,Q. What do people get wrong about tax-free shopping in Japan?,Japan Tourism Agency — tax-free shop information,https://www.mlit.go.jp/kankocho/tax-free/,"Confirm dates, thresholds and the refund procedure with the National Tax Agency before publication. **This article may be read after the change takes effect — state clearly which system applies.**",,,
059,059_inbound_tax-free-shopping.md,Q. What do people get wrong about tax-free shopping in Japan?,Japan Customs,https://www.customs.go.jp/english/,"Confirm dates, thresholds and the refund procedure with the National Tax Agency before publication. **This article may be read after the change takes effect — state clearly which system applies.**",,,
064,064_inbound_customs-on-the-way-home.md,Q. What do people get wrong about customs on the way home from Japan?,"Animal Quarantine Service, MAFF — souvenir meat products (taking out of Japan)",https://www.maff.go.jp/aqs/tetuzuki/product/aq1.html,"At the time of writing, export quarantine certificates for **pork and wild-boar products were suspended** following domestic classical swine fever cases. Confirm current status before publication.",,,
064,064_inbound_customs-on-the-way-home.md,Q. What do people get wrong about customs on the way home from Japan?,"Animal Quarantine Service, MAFF — list of countries accepting meat exports from Japan",https://www.maff.go.jp/aqs/hou/require/export_meat_list.html,"At the time of writing, export quarantine certificates for **pork and wild-boar products were suspended** following domestic classical swine fever cases. Confirm current status before publication.",,,
064,064_inbound_customs-on-the-way-home.md,Q. What do people get wrong about customs on the way home from Japan?,Japan Customs — Customs Answer 9006,https://www.customs.go.jp/tetsuzuki/c-answer/sonota/9006_jr.htm,"At the time of writing, export quarantine certificates for **pork and wild-boar products were suspended** following domestic classical swine fever cases. Confirm current status before publication.",,,
069,069_inbound_rubbish-bins.md,Q. What do people get wrong about rubbish bins in Japan?,"Japan Tourism Agency, ""Survey on the reception environment for foreign visitors"" (FY2025 results, April 2026)",https://www.mlit.go.jp/kankocho/content/001998584.pdf,Survey figures from the Japan Tourism Agency (April 2026 release). Confirm before publication.,,,
069,069_inbound_rubbish-bins.md,Q. What do people get wrong about rubbish bins in Japan?,Japan Tourism Agency press release (2026),https://www.mlit.go.jp/kankocho/news08_00039.html,Survey figures from the Japan Tourism Agency (April 2026 release). Confirm before publication.,,,
069,069_inbound_rubbish-bins.md,Q. What do people get wrong about rubbish bins in Japan?,"Ministry of the Environment — municipal waste survey (FY2023, 1,741 municipalities)",https://www.env.go.jp/recycle/waste_tech/ippan/r5/data/env_press.pdf,Survey figures from the Japan Tourism Agency (April 2026 release). Confirm before publication.,,,
074,074_inbound_sorting-rubbish.md,Q. What do people get wrong about sorting rubbish in Japan?,"Ministry of the Environment, FY2023 municipal waste survey — press release (27 March 2025)",https://www.env.go.jp/recycle/waste_tech/ippan/r5/data/env_press.pdf,Figures from the Ministry of the Environment's FY2023 survey release (27 March 2025). Confirm before publication.,,,
074,074_inbound_sorting-rubbish.md,Q. What do people get wrong about sorting rubbish in Japan?,Ministry of the Environment — waste statistics index,https://www.env.go.jp/recycle/waste/wastetoukei_index.html,Figures from the Ministry of the Environment's FY2023 survey release (27 March 2025). Confirm before publication.,,,
074,074_inbound_sorting-rubbish.md,Q. What do people get wrong about sorting rubbish in Japan?,Municipal websites publish local sorting rules and collection calendars,,Figures from the Ministry of the Environment's FY2023 survey release (27 March 2025). Confirm before publication.,,,
079,079_inbound_sunscreen-labels.md,Q. What do people get wrong about sunscreen labels in Japan?,Japan Cosmetic Industry Association — UV protection measurement standards,https://www.jcia.org/,The 2 mg/cm² standard is widely documented; actual-use figures come from dermatology and cosmetics information sites. Confirm with Japan Cosmetic Industry Association material before publication.,,,
079,079_inbound_sunscreen-labels.md,Q. What do people get wrong about sunscreen labels in Japan?,Ministry of the Environment — Ultraviolet Radiation Health Manual,https://www.env.go.jp/chemi/uv/uv_manual.html,The 2 mg/cm² standard is widely documented; actual-use figures come from dermatology and cosmetics information sites. Confirm with Japan Cosmetic Industry Association material before publication.,,,
079,079_inbound_sunscreen-labels.md,Q. What do people get wrong about sunscreen labels in Japan?,Japanese Dermatological Association,https://www.dermatol.or.jp/qa/,The 2 mg/cm² standard is widely documented; actual-use figures come from dermatology and cosmetics information sites. Confirm with Japan Cosmetic Industry Association material before publication.,,,
084,084_inbound_spf-and-pa.md,Q. What do people get wrong about SPF and PA in Japan?,Japan Cosmetic Industry Association — UV protection measurement standards,https://www.jcia.org/,Test standard and actual-use figures from dermatology and industry sources. Confirm with Japan Cosmetic Industry Association material before publication.,,,
084,084_inbound_spf-and-pa.md,Q. What do people get wrong about SPF and PA in Japan?,Ministry of the Environment — Ultraviolet Radiation Health Manual,https://www.env.go.jp/chemi/uv/uv_manual.html,Test standard and actual-use figures from dermatology and industry sources. Confirm with Japan Cosmetic Industry Association material before publication.,,,
084,084_inbound_spf-and-pa.md,Q. What do people get wrong about SPF and PA in Japan?,Japanese Dermatological Association,https://www.dermatol.or.jp/qa/,Test standard and actual-use figures from dermatology and industry sources. Confirm with Japan Cosmetic Industry Association material before publication.,,,
089,089_inbound_cosmetics-labels.md,Q. What do people get wrong about cosmetics labels in Japan?,"Ministry of Health, Labour and Welfare, notice on the scope of cosmetic efficacy claims (薬食発0721第1号, 21 July 2011)",https://www.mhlw.go.jp/file/06-Seisakujouhou-11120000-Iyakushokuhinkyoku/kesyouhin_hanni_20111.pdf,Confirm the notice reference (薬食発0721第1号) before publication.,,,
089,089_inbound_cosmetics-labels.md,Q. What do people get wrong about cosmetics labels in Japan?,"Society of Cosmetic Chemists of Japan — glossary, ""sensitive skin""",https://www.sccj-ifscc.com/library/glossary_detail/1465,Confirm the notice reference (薬食発0721第1号) before publication.,,,
089,089_inbound_cosmetics-labels.md,Q. What do people get wrong about cosmetics labels in Japan?,Japan Cosmetic Industry Association,https://www.jcia.org/,Confirm the notice reference (薬食発0721第1号) before publication.,,,
094,094_inbound_expiry-dates-on-cosmetics.md,Q. What do people get wrong about expiry dates on cosmetics in Japan?,Japan Cosmetic Industry Association — Cosmetics Q&A,https://www.jcia.org/user/public/faq,Rule as described by the Japan Cosmetic Industry Association FAQ and legal commentaries. Confirm before publication.,,,
094,094_inbound_expiry-dates-on-cosmetics.md,Q. What do people get wrong about expiry dates on cosmetics in Japan?,"Ministry of Health, Labour and Welfare — cosmetics and quasi-drugs",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/iyakuhin/keshouhin/index.html,Rule as described by the Japan Cosmetic Industry Association FAQ and legal commentaries. Confirm before publication.,,,
094,094_inbound_expiry-dates-on-cosmetics.md,Q. What do people get wrong about expiry dates on cosmetics in Japan?,National Consumer Affairs Center of Japan,https://www.kokusen.go.jp/,Rule as described by the Japan Cosmetic Industry Association FAQ and legal commentaries. Confirm before publication.,,,
099,099_inbound_skincare-product-names.md,Q. What do people get wrong about skincare product names in Japan?,"Ministry of Health, Labour and Welfare, notice on the scope of cosmetic efficacy claims (薬食発0721第1号, 21 July 2011)",https://www.mhlw.go.jp/file/06-Seisakujouhou-11120000-Iyakushokuhinkyoku/kesyouhin_hanni_20111.pdf,Notice reference 薬食発0721第1号. Confirm before publication.,,,
099,099_inbound_skincare-product-names.md,Q. What do people get wrong about skincare product names in Japan?,"Society of Cosmetic Chemists of Japan — glossary, ""transepidermal water loss""",https://www.sccj-ifscc.com/library/glossary_detail/487,Notice reference 薬食発0721第1号. Confirm before publication.,,,
099,099_inbound_skincare-product-names.md,Q. What do people get wrong about skincare product names in Japan?,Japan Cosmetic Industry Association,https://www.jcia.org/,Notice reference 薬食発0721第1号. Confirm before publication.,,,
141,141_inbound_ic-cards.md,"Q. What do people get wrong about IC cards (Suica, PASMO) in Japan?",JR East — Welcome Suica,https://www.jreast.co.jp/multi/en/welcomesuica/,"Launch dates, validity periods and refund rules with JR East (Welcome Suica page) and PASMO before publication. Service details changed in 2023 and 2025 and may change again.",,,
141,141_inbound_ic-cards.md,"Q. What do people get wrong about IC cards (Suica, PASMO) in Japan?",JR East — Welcome Suica Mobile (app),https://www.jreast.co.jp/multi/en/welcomesuica/mobile/,"Launch dates, validity periods and refund rules with JR East (Welcome Suica page) and PASMO before publication. Service details changed in 2023 and 2025 and may change again.",,,
141,141_inbound_ic-cards.md,"Q. What do people get wrong about IC cards (Suica, PASMO) in Japan?",PASMO — PASMO PASSPORT and information for visitors,https://www.pasmo.co.jp/visitors/en/,"Launch dates, validity periods and refund rules with JR East (Welcome Suica page) and PASMO before publication. Service details changed in 2023 and 2025 and may change again.",,,
141,141_inbound_ic-cards.md,"Q. What do people get wrong about IC cards (Suica, PASMO) in Japan?",Japan Tourism Agency — transport information for visitors,https://www.mlit.go.jp/kankocho/en/,"Launch dates, validity periods and refund rules with JR East (Welcome Suica page) and PASMO before publication. Service details changed in 2023 and 2025 and may change again.",,,
142,142_inbound_coin-lockers-and-luggage-forwarding.md,Q. What do people get wrong about coin lockers and luggage forwarding in Japan?,JR East — Coin lockers (English),https://www.jreast.co.jp/e/stations/lockers.html,Locker prices and sizes vary by operator and station; forwarding prices change annually. Check the JR East locker page and Yamato Transport's TA-Q-BIN English page before publication.,,,
142,142_inbound_coin-lockers-and-luggage-forwarding.md,Q. What do people get wrong about coin lockers and luggage forwarding in Japan?,Yamato Transport — TA-Q-BIN for travellers,https://www.kuronekoyamato.co.jp/en/,Locker prices and sizes vary by operator and station; forwarding prices change annually. Check the JR East locker page and Yamato Transport's TA-Q-BIN English page before publication.,,,
142,142_inbound_coin-lockers-and-luggage-forwarding.md,Q. What do people get wrong about coin lockers and luggage forwarding in Japan?,Japan Tourism Agency — Hands-free travel,https://www.mlit.go.jp/kankocho/en/,Locker prices and sizes vary by operator and station; forwarding prices change annually. Check the JR East locker page and Yamato Transport's TA-Q-BIN English page before publication.,,,
143,143_inbound_bringing-medicine-into-japan.md,Q. What do people get wrong about bringing medicine into Japan?,"Ministry of Health, Labour and Welfare — Bringing medicines for personal use into Japan (English)",https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/01.html,"Confirm quantities and the current procedure name (""Import Confirmation"", formerly Yakkan Shoumei) with the MHLW English page before publication. This area changes and the consequences of an error are severe.",,,
143,143_inbound_bringing-medicine-into-japan.md,Q. What do people get wrong about bringing medicine into Japan?,"Ministry of Health, Labour and Welfare — Import Confirmation application (Yakkan Shoumei)",https://www.mhlw.go.jp/english/policy/health-medical/pharmaceuticals/dl/01.pdf,"Confirm quantities and the current procedure name (""Import Confirmation"", formerly Yakkan Shoumei) with the MHLW English page before publication. This area changes and the consequences of an error are severe.",,,
143,143_inbound_bringing-medicine-into-japan.md,Q. What do people get wrong about bringing medicine into Japan?,Narcotics Control Department — Bringing narcotics into Japan,https://www.ncd.mhlw.go.jp/en/application2.html,"Confirm quantities and the current procedure name (""Import Confirmation"", formerly Yakkan Shoumei) with the MHLW English page before publication. This area changes and the consequences of an error are severe.",,,
143,143_inbound_bringing-medicine-into-japan.md,Q. What do people get wrong about bringing medicine into Japan?,Japan Customs — Prohibited and restricted items,https://www.customs.go.jp/english/summary/prohibit.htm,"Confirm quantities and the current procedure name (""Import Confirmation"", formerly Yakkan Shoumei) with the MHLW English page before publication. This area changes and the consequences of an error are severe.",,,
144,144_inbound_vending-machines.md,Q. What do people get wrong about vending machines in Japan?,Japan Vending System Manufacturers Association — Vending machine population survey,https://www.jvma.or.jp/information/information_3.html,Machine counts with the Japan Vending System Manufacturers Association's annual survey; prices are observed 2025 ranges.,,,
144,144_inbound_vending-machines.md,Q. What do people get wrong about vending machines in Japan?,Ministry of the Environment — PET bottle recycling,https://www.env.go.jp/en/recycle/,Machine counts with the Japan Vending System Manufacturers Association's annual survey; prices are observed 2025 ranges.,,,
144,144_inbound_vending-machines.md,Q. What do people get wrong about vending machines in Japan?,Japan Tourism Agency — Practical information,https://www.mlit.go.jp/kankocho/en/,Machine counts with the Japan Vending System Manufacturers Association's annual survey; prices are observed 2025 ranges.,,,
145,145_inbound_allergy-labelling.md,Q. What do people get wrong about allergy labelling on Japanese food?,Consumer Affairs Agency — Food allergen labelling (English summary),https://www.caa.go.jp/en/policy/food_labeling/,The walnut enforcement date and the macadamia addition with the Consumer Affairs Agency's allergen labelling page before publication.,,,
145,145_inbound_allergy-labelling.md,Q. What do people get wrong about allergy labelling on Japanese food?,Consumer Affairs Agency — 食品表示基準 アレルゲン（特定原材料等）,https://www.caa.go.jp/policies/policy/food_labeling/food_sanitation/allergy/,The walnut enforcement date and the macadamia addition with the Consumer Affairs Agency's allergen labelling page before publication.,,,
145,145_inbound_allergy-labelling.md,Q. What do people get wrong about allergy labelling on Japanese food?,Japan National Tourism Organization — Dietary restrictions and allergy cards,https://www.japan.travel/en/plan/,The walnut enforcement date and the macadamia addition with the Consumer Affairs Agency's allergen labelling page before publication.,,,
146,146_inbound_tipping-and-restaurant-etiquette.md,Q. What do people get wrong about tipping and restaurant etiquette in Japan?,National Tax Agency — Consumption tax rates and tax-inclusive price display,https://www.nta.go.jp/english/taxes/consumption_tax/,Tax-inclusive pricing rules with the National Tax Agency; otoshi price ranges are observational.,,,
146,146_inbound_tipping-and-restaurant-etiquette.md,Q. What do people get wrong about tipping and restaurant etiquette in Japan?,Japan National Tourism Organization — Dining etiquette,https://www.japan.travel/en/guide/dining-etiquette/,Tax-inclusive pricing rules with the National Tax Agency; otoshi price ranges are observational.,,,
146,146_inbound_tipping-and-restaurant-etiquette.md,Q. What do people get wrong about tipping and restaurant etiquette in Japan?,Japan Tourism Agency — Guidance for visitors,https://www.mlit.go.jp/kankocho/en/,Tax-inclusive pricing rules with the National Tax Agency; otoshi price ranges are observational.,,,
147,147_inbound_over-the-counter-medicine.md,Q. What do people get wrong about over-the-counter medicine in Japan?,"Ministry of Health, Labour and Welfare — OTC medicine classification (一般用医薬品の区分)",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/0000092820.html,Class assignments change as products are reclassified; confirm examples with the MHLW OTC classification list before publication. Dose comparisons are indicative.,,,
147,147_inbound_over-the-counter-medicine.md,Q. What do people get wrong about over-the-counter medicine in Japan?,"Ministry of Health, Labour and Welfare — Multilingual guide for pharmacies",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/iyakuhin/index.html,Class assignments change as products are reclassified; confirm examples with the MHLW OTC classification list before publication. Dose comparisons are indicative.,,,
147,147_inbound_over-the-counter-medicine.md,Q. What do people get wrong about over-the-counter medicine in Japan?,Japan Association of Chain Drug Stores — Store finder (English),https://www.jacds.gr.jp/,Class assignments change as products are reclassified; confirm examples with the MHLW OTC classification list before publication. Dose comparisons are indicative.,,,
148,148_inbound_power-plugs-and-voltage.md,Q. What do people get wrong about power plugs and voltage in Japan?,Agency for Natural Resources and Energy — Electricity frequency in Japan (50 Hz / 60 Hz),https://www.enecho.meti.go.jp/en/,Frequency boundary and voltage with the Agency for Natural Resources and Energy; plug details with the Japan Electrical Safety & Environment Technology Laboratories (JET).,,,
148,148_inbound_power-plugs-and-voltage.md,Q. What do people get wrong about power plugs and voltage in Japan?,Japan Electrical Safety & Environment Technology Laboratories (JET),https://www.jet.or.jp/en/,Frequency boundary and voltage with the Agency for Natural Resources and Energy; plug details with the Japan Electrical Safety & Environment Technology Laboratories (JET).,,,
148,148_inbound_power-plugs-and-voltage.md,Q. What do people get wrong about power plugs and voltage in Japan?,Japan National Tourism Organization — Electricity and plugs,https://www.japan.travel/en/plan/,Frequency boundary and voltage with the Agency for Natural Resources and Energy; plug details with the Japan Electrical Safety & Environment Technology Laboratories (JET).,,,
149,149_inbound_sim-esim-and-pocket-wifi.md,"Q. What do people get wrong about SIM cards, eSIM and pocket Wi-Fi in Japan?",Ministry of Internal Affairs and Communications — Mobile services for foreign visitors,https://www.soumu.go.jp/main_sosiki/joho_tsusin/eng/,Prices are observed 2025 ranges. 3G shutdown dates with each carrier's announcement before publication.,,,
149,149_inbound_sim-esim-and-pocket-wifi.md,"Q. What do people get wrong about SIM cards, eSIM and pocket Wi-Fi in Japan?",Japan National Tourism Organization — Internet and Wi-Fi,https://www.japan.travel/en/plan/wifi-and-connectivity/,Prices are observed 2025 ranges. 3G shutdown dates with each carrier's announcement before publication.,,,
149,149_inbound_sim-esim-and-pocket-wifi.md,"Q. What do people get wrong about SIM cards, eSIM and pocket Wi-Fi in Japan?",NTT Docomo / KDDI / SoftBank — network and 3G termination notices (English),https://www.docomo.ne.jp/english/,Prices are observed 2025 ranges. 3G shutdown dates with each carrier's announcement before publication.,,,
150,150_inbound_coin-laundries.md,Q. What do people get wrong about coin laundries in Japan?,"Ministry of Health, Labour and Welfare — Survey of self-service laundries (コインオペレーションクリーニング営業施設)",https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/seikatsu-eisei/,"Laundry counts with the MHLW ""コインオペレーションクリーニング営業施設"" survey; prices are observed 2025 ranges.",,,
150,150_inbound_coin-laundries.md,Q. What do people get wrong about coin laundries in Japan?,Consumer Affairs Agency — Care labelling (JIS L0001),https://www.caa.go.jp/policies/policy/representation/household_goods/laundry_symbols.html,"Laundry counts with the MHLW ""コインオペレーションクリーニング営業施設"" survey; prices are observed 2025 ranges.",,,
150,150_inbound_coin-laundries.md,Q. What do people get wrong about coin laundries in Japan?,Japan National Tourism Organization — Laundry while travelling,https://www.japan.travel/en/plan/,"Laundry counts with the MHLW ""コインオペレーションクリーニング営業施設"" survey; prices are observed 2025 ranges.",,,
