file,claim_to_verify,status,checked_by,checked_on
079_inbound_sunscreen-labels.md,"2 mg (or 2 μL) per cm² test amount (ISO 24444 / JCIA method) — consistent with reviewer knowledge; face guide 0.7–0.9 g, 'two pearl-sized dabs' / 'two one-yen-coin circles' (JCIA consumer guidance) — not searched.",,,
079_inbound_sunscreen-labels.md,Average actual application of 0.56 g per face — origin unknown; see major finding.,,,
084_inbound_spf-and-pa.md,PA scale PA+ to PA++++ (PA++++ introduced by JCIA in January 2013) — consistent with reviewer knowledge; not searched.,,,
089_inbound_cosmetics-labels.md,Notice 薬食発0721第1号 of 21 July 2011 establishing 56 permitted cosmetic efficacy claims — consistent with reviewer knowledge; URL kesyouhin_hanni_20111.pdf not checked.,,,
089_inbound_cosmetics-labels.md,'Over half of Japanese women describe themselves as having sensitive skin' — no survey named; SCCJ glossary entry 1465 not checked.,,,
089_inbound_cosmetics-labels.md,ノンケミカル conventionally means no UV absorbers (i.e. physical/scattering agents only) — consistent with reviewer knowledge; not searched.,,,
094_inbound_expiry-dates-on-cosmetics.md,"1980 ministerial notice (昭和55年 厚生省告示第166号) designating three categories (ascorbic acid and its esters/salts, enzymes, products likely to change within 3 years) as requiring an expiry date — consistent with reviewer knowledge; not searched.",,,
094_inbound_expiry-dates-on-cosmetics.md,Industry guidance to use opened products within 'several months to a year' (JCIA FAQ) — not checked.,,,
099_inbound_skincare-product-names.md,Same 56-claims notice reference as #089; SCCJ glossary entry 487 (transepidermal water loss) — not checked.,,,
141_inbound_ic-cards.md,Physical Welcome Suica sales locations in 2026 (largely limited to Narita/Haneda airport counters and machines since 2024) — the table implies general availability; not searched.,,,
141_inbound_ic-cards.md,"TOURIST PASMO price, validity period and refund terms — launch date (20 May 2026) confirmed, details not.",,,
141_inbound_ic-cards.md,"'A card cannot be used across some regional boundaries in a single journey' — correct in principle (IC areas), not checked.",,,
142_inbound_coin-lockers-and-luggage-forwarding.md,"Locker prices ¥300–400 / ¥500–600 / ¥700–1,000 and sizes 35×34×57, 57×34×57, 84–117×34×57 cm; 3-day limit; JR East URL /e/stations/lockers.html.",,,
142_inbound_coin-lockers-and-luggage-forwarding.md,"Yamato TA-Q-BIN suitcase price 'roughly ¥2,000–3,000' within the main islands (2025–26 tariff), size cap (200 size / 30 kg), and restrictions on loose lithium batteries.",,,
143_inbound_bringing-medicine-into-japan.md,Codeine threshold: preparations at or below 1% codeine are non-narcotic in Japan; above 1% are narcotics needing a permit — reviewer knowledge; the search results did not state the 1% figure.,,,
143_inbound_bringing-medicine-into-japan.md,"Mailing medicine to yourself is treated as import under the same rules — plausible, not searched.",,,
144_inbound_vending-machines.md,taspo termination on 31 March 2026 — see major finding; must be confirmed with the Tobacco Institute of Japan before editing.,,,
144_inbound_vending-machines.md,Hot cans heated to about 55°C; population per machine about 1 per 32 (derived); JVMA URL information_3.html.,,,
145_inbound_allergy-labelling.md,Adrenaline auto-injector personal-import limits for visitors (quantity allowed without a Yunyu Kakunin-sho) — not searched (budget exhausted).,,,
145_inbound_allergy-labelling.md,"Restaurants, bakeries and takeaway counters exempt from allergen labelling — consistent with general knowledge and secondary sources but not checked against CAA text.",,,
146_inbound_tipping-and-restaurant-etiquette.md,"Otoshi ¥300–800 per person; 10% service charge; late-night charge after 22:00–23:00 — observational, no search performed.",,,
147_inbound_over-the-counter-medicine.md,"Exact ingredient list, quantity limit (one pack) and age threshold (18 vs 20) of the 指定濫用防止医薬品 rules in force from 1 May 2026.",,,
147_inbound_over-the-counter-medicine.md,Whether the Loxonin S (loxoprofen tablets) move from Class 1 to designated Class 2 has been gazetted / taken effect after the 29 July 2026 committee approval.,,,
147_inbound_over-the-counter-medicine.md,Existence and URL of an MHLW 'multilingual pharmacy guide'; the two MHLW URLs and the JACDS English store finder.,,,
148_inbound_power-plugs-and-voltage.md,"Grounded type B sockets 'uncommon' in homes and older hotels — plausible, not verified.",,,
149_inbound_sim-esim-and-pocket-wifi.md,Whether the 2026 amendment to the Mobile Phone Improper Use Prevention Act (ID checks for data SIMs) has passed the Diet and its enforcement date.,,,
149_inbound_sim-esim-and-pocket-wifi.md,"eSIM price range ¥1,500–4,000 for 7–15 days (roughly consistent with US$4–16 plans seen) and 'Tourist eSIMs ride on Docomo or SoftBank in most cases'.",,,
149_inbound_sim-esim-and-pocket-wifi.md,'Connectivity is the second most searched practical topic after money' — unsourced editorial claim.,,,
150_inbound_coin-laundries.md,"Latest MHLW count of コインオペレーションクリーニング営業施設 (FY2023/FY2024) and the year behind 'about 27,000'.",,,
150_inbound_coin-laundries.md,Etiquette claim that removing another person's finished laundry to the folding table is 'considered acceptable' — contested; not verified.,,,
201_inbound_supermarkets.md,"Evening markdown window 18:00–20:00, bag price ¥3–5, opening hours — observational.",,,
202_inbound_department-stores-and-depachika.md,JDSA 2025 full-year duty-free sales (released Jan 2026) — not retrieved; may change the 'record' framing.,,,
202_inbound_department-stores-and-depachika.md,Depachika bento discounts 30–50% from about 19:00; cooling pack free — observational.,,,
203_inbound_home-centres.md,"Timber cutting ¥50–100 per cut; typical store size 3,000–10,000 m2 — observational.",,,
204_inbound_consumption-tax.md,Osaka prefecture accommodation tax current bands (a 2025 revision was reported) — not retrieved.,,,
205_inbound_carry-on-rules.md,"Highway buses: 1 suitcase in the hold, usually under 30 kg / 160 cm (no operator page found in results)",,,
205_inbound_carry-on-rules.md,"Whether the oversized-baggage reservation also applies on the Nishi-Kyushu Shinkansen (Kamome, opened Sept 2022) — likely yes, should be added to the row if confirmed",,,
205_inbound_carry-on-rules.md,City trains: 'bicycles must be bagged' (JR rinko rule) — not searched,,,
205_inbound_carry-on-rules.md,JAL domestic checked allowance still 20 kg in 2026 (JAL may follow ANA's piece-system change; snippet showed 20 kg only),,,
205_inbound_carry-on-rules.md,ANA domestic carry-on 10 kg / 55×40×25 cm (only JAL was confirmed by snippet),,,
206_inbound_face-masks.md,Hay-fever season Feb–Apr drives mask sales (pre-2020 sales peak Feb–Apr),,,
207_inbound_hotel-amenities.md,"Business hotel price band ¥8,000–15,000 (japan-guide gives ¥7,000–15,000 single; 2025–26 city rates often higher)",,,
207_inbound_hotel-amenities.md,Coin laundry ¥300–500 per machine (snippets suggest wash ¥100–300 + dryer ¥100–200 per 30 min),,,
207_inbound_hotel-amenities.md,Ryokan room 8–10 jo ≈ 13–16 m² (depends on tatami standard; Kyoma 10 jo ≈ 18 m²),,,
208_inbound_reading-a-menu.md,"Teishoku lunch price ¥800–1,200 (likely creeping to ¥900–1,300 in 2025–26 cities; no source found)",,,
208_inbound_reading-a-menu.md,Large portion (omori) 'often free or ¥100',,,
209_inbound_queueing-and-reservations.md,Hotels may charge 100% for same-day cancellation; restaurants taking card guarantees/deposits (JTA no-show measures),,,
209_inbound_queueing-and-reservations.md,'Two lines per door' on platforms and 'ladies-only cars marked pink' (varies by operator),,,
210_inbound_sizing-differences.md,Shoe and women's-clothing conversion tables (7/9/11/13 vs US 0–2/4/6–8/10); '3E is roughly a US wide'; 'Japanese feet are on average wider',,,
210_inbound_sizing-differences.md,JIS L 4004 (men's) / L 4005 (women's) clothing size standards,,,
261_inbound_packing-for-winter.md,"January normals for Sapporo (−1/−7), Tokyo (10/1), Kyoto (9/1), Kanazawa/Niigata (6/1), Fukuoka (10/4), Naha (19/15) — consistent with JMA 1991–2020 normals from memory but not confirmed by snippet",,,
261_inbound_packing-for-winter.md,"Indoor temperatures (trains/shops 22–26°C, old homes 10–15°C) and Tokyo indoor humidity 20–30%",,,
261_inbound_packing-for-winter.md,"Clip-on spikes sold at Hokkaido convenience stores for ¥1,000–2,000",,,
262_inbound_packing-for-the-rainy-season.md,"Tokyo June normals: ~12 rain days (March ~11), 168 mm (March 116 mm), RH 75–80%, 26°C/19°C — consistent with JMA normals from memory; JMA normals page not readable in snippets",,,
262_inbound_packing-for-the-rainy-season.md,Okinawa rainy season normals early May (10 May) to late June (21 June) — Kanto 7 June–19 July was confirmed,,,
263_inbound_public-baths-sento.md,Bath temperature 41–43°C 'hotter than onsen'; typical hours 15:00–23:00; 'most sento admit tattooed bathers',,,
264_inbound_eating-while-walking.md,"Kyoto City guidance for Nishiki Market (confirmed as a market-association request since 2019, not a city ordinance — wording in table is accurate)",,,
265_inbound_convenience-store-food.md,"Big three hold ~90% of stores; near-date discounts 20–30%; evening markdowns 'since 2019' (Lawson 2019 trial, 7-Eleven 2020 points-back); chilled food shelf life 24–48 h",,,
266_inbound_instant-noodles.md,"Invented in Japan in 1958 (Chicken Ramen) and cup version 1971 (Cup Noodle) — widely known, not searched.",,,
266_inbound_instant-noodles.md,Regional/shop-branded cups ¥250–400; ¥400 Michelin-collaboration cups; ¥100 basic cups (2026 prices).,,,
267_inbound_matcha-products.md,"Tencha production 'roughly tripled 2010–2023 to about 4,000 t' — one source says 2.8x over 15 years; exact tonnage not confirmed against MAFF tables.",,,
267_inbound_matcha-products.md,"Stone mill output 'about 40 g per hour'; price bands ¥1,500–5,000/30 g ceremonial and ¥500–1,500/100 g culinary (prices rose sharply 2025).",,,
267_inbound_matcha-products.md,Shading period 20–30 days before harvest.,,,
268_inbound_vegetarian-and-halal-options.md,"'Soy sauce ... contains trace alcohol' — regular koikuchi soy sauce typically contains ~2–3% alcohol from fermentation (manufacturer statements), so 'trace' may understate; not searched.",,,
268_inbound_vegetarian-and-halal-options.md,"Shōjin ryōri meal price ¥3,000–8,000.",,,
269_inbound_postal-services-shipping-home.md,"EMS 5 kg to US/Europe ¥10,000–15,000; airmail parcel ¥8,000–12,000; SAL ¥6,000–9,000; surface ¥4,000–6,000; small packet ¥1,500–3,500 — rate tables not retrieved (Japan Post rates revised 2022/2025; check cgi-charge tool).",,,
269_inbound_postal-services-shipping-home.md,Economy air (SAL) 'suspended to some countries' — current suspension list not confirmed; SAL parcels to many destinations have been suspended since 2020.,,,
269_inbound_postal-services-shipping-home.md,"EMS insured to ¥20,000 (free coverage), max 30 kg, 1.5 m longest side; box prices ¥100–400; 'about 24,000' post offices (23,705 in June 2022 — close).",,,
269_inbound_postal-services-shipping-home.md,Electronic advance data required 'since 2021' for most destinations — consistent with Jan 2021 rollout but not confirmed by search this session.,,,
270_inbound_sales-seasons-and-lucky-bags.md,Black Friday 'adopted by some chains since ~2016' (Aeon 2016; Toys R Us Japan 2014).,,,
270_inbound_sales-seasons-and-lucky-bags.md,Fukubukuro 'date to Edo-period kimono shops' (Echigoya) — often attributed to Meiji-era department stores instead.,,,
270_inbound_sales-seasons-and-lucky-bags.md,"Tax-free ¥5,000 threshold — still valid, but the tax-free scheme converts to a refund system from 1 November 2026; ensure the referenced tax-free article carries the change.",,,
321_inbound_japanese-toilets.md,Source line 'Japan Sanitary Equipment Industry Association' for sanitary-net.com — the site belongs to the Japan Rest Room Industry Association (日本レストルーム工業会); check name.,,,
322_inbound_train-etiquette.md,Rush hour 7:30–9:00; priority-seat phone rule relaxed to 'silent when crowded' (Kanto operators 2015).,,,
323_inbound_taxis-in-japan.md,Late-night surcharge remains +20% 22:00–05:00 after the April 2026 revision (not confirmed).,,,
324_inbound_earthquakes-for-visitors.md,'Shinkansen has never had a passenger fatality from an earthquake'; tsunami evacuation sign colours (green with wave/running figure); 3rd floor of concrete building guidance.,,,
325_inbound_typhoon-season.md,'September has the most landfalls' — JMA monthly landfall normals (Aug vs Sept) not checked; duration 6–24 h; airlines rebook without fees.,,,
326_inbound_smoking-rules.md,"Chiyoda ordinance since 2002 with ¥2,000 fine; small-bar exemption thresholds (100 m2 customer area, capital ≤¥50m, existing before April 2020); Tokyo ordinance stricter for restaurants with employees; men ~50% smoking in 2000 (NHNS 2000: 47.4%).",,,
326_inbound_smoking-rules.md,"'Taxis, trains, planes: Banned' — Shinkansen smoking rooms were abolished in spring 2024, making this now accurate; not re-confirmed by search.",,,
327_inbound_temple-and-shrine-etiquette.md,"77,000 temples (search confirmed ~80,000 shrines in 宗教年鑑; temple figure not confirmed — 令和6年版 PDF r06nenkan.pdf should be checked; likely ~76,000–77,000)",,,
327_inbound_temple-and-shrine-etiquette.md,Goshuin ¥300–500 — many sites now charge ¥500 or more; could not verify current range,,,
328_inbound_staying-at-a-ryokan.md,"Typical ryokan price ¥15,000–40,000 per person incl. two meals; check-in 15:00 / check-out 10:00 as norms (observational, not verified)",,,
329_inbound_driving-in-japan.md,"NPA source URL https://www.npa.go.jp/policies/application/license_renewal/ — path name suggests a licence-renewal page, not the foreign-licence page; check",,,
329_inbound_driving-in-japan.md,"Parking ¥300–600/hour in cities; 'illegal parking towed and fined' (no fine amount given; 放置違反金 for ordinary cars is typically ¥15,000–18,000)",,,
329_inbound_driving-in-japan.md,Passengers and alcohol servers 'also liable' — true under Road Traffic Act Art. 65 but penalty tiers not searched,,,
330_inbound_wagashi-and-seasonal-sweets.md,Sugar content: yōkan 50 g ≈ 25–30 g sugar; nerikiri 10–15 g; 'less sweet by weight than Western pastry',,,
330_inbound_wagashi-and-seasonal-sweets.md,"Gift-number customs (sets of four avoided; six/eight/ten standard) — folk convention, unverified",,,
381_inbound_pollen-season-for-visitors.md,"Regional season dates (Tokyo cedar early Feb–early Apr, cypress late Mar–early May, etc.) — consistent with general MoE data but not verified this pass",,,
381_inbound_pollen-season-for-visitors.md,Cetirizine OTC class (Allegra FX fexofenadine and Claritin EX loratadine confirmed 第2類; cetirizine products not confirmed),,,
381_inbound_pollen-season-for-visitors.md,Hokkaido 'almost no cedar' / Okinawa 'no cedar' — generally accepted; southern Hokkaido has some cedar; not verified this pass,,,
382_inbound_toiletries-to-buy-locally.md,Drugstore chains open 'until 22:00 or later' — many close 21:00–22:00; verify wording,,,
382_inbound_toiletries-to-buy-locally.md,Travel-size items ¥100–400; tampon/deodorant availability — observational,,,
384_inbound_ekiben-station-bento.md,'Business travellers are the main market' — no source found,,,
384_inbound_ekiben-station-bento.md,Self-heating boxes 'wait 5–8 minutes' — product-specific; not verified,,,
385_inbound_convenience-store-services.md,Free Wi-Fi at convenience stores 'with registration (each chain's app or email)' — 7-Eleven's 7SPOT Wi-Fi was discontinued (2022) and FamilyMart's free Wi-Fi is also believed discontinued; search budget ran out before confirming. Recommend humans verify and likely downgrade this row (Lawson may be the only chain still offering it).,,,
385_inbound_convenience-store-services.md,"'About 56,000 convenience stores' — Sept 2025: 7-Eleven 21,591 + FamilyMart 16,351 + Lawson 14,677 = ~52,600 for the big three; JFA all-chain total (~55,000–57,000) not confirmed",,,
385_inbound_convenience-store-services.md,"Passport-style photo printing at multi-copy machines; ticket terminals needing a Japanese phone number — plausible, not verified",,,
386_inbound_japanese-addresses-and-finding-places.md,"Postcode 100-0005 = Marunouchi, Chiyoda-ku (believed correct; not searched)",,,
387_inbound_shinkansen-tickets-and-rail-passes.md,"Tokyo–Osaka about ¥14,700 and Tokyo–Hiroshima about ¥19,000 (Nozomi reserved) — consistent with known 2025 fares (¥14,720 / ¥19,440) but not confirmed by a search this session; also check whether JR Central/JR West changed Shinkansen fares in 2026 (JR East raised fares in March 2026).",,,
387_inbound_shinkansen-tickets-and-rail-passes.md,"Reserved seats 'fill a month ahead' — general JR sales open one month ahead, but one snippet says Smart EX now accepts Tokaido/Sanyo reservations up to a year ahead; confirm on smart-ex.jp and adjust 387/388 wording if so.",,,
387_inbound_shinkansen-tickets-and-rail-passes.md,"Unreserved cars 1–3 (Nozomi) confirmed; 'or 1–5' for Hikari not confirmed. Smart EX/eki-net advance discounts of ¥200–1,000 not checked.",,,
387_inbound_shinkansen-tickets-and-rail-passes.md,"Green car 'about +¥5,000' — plausible (Tokyo–Shin-Osaka roughly +¥4,900) but not searched.",,,
388_inbound_peak-travel-periods.md,"Hotel price figures (Kyoto ¥15,000–20,000 ordinary month, ¥40,000+ peak; 2–3x Golden Week multipliers), '40 km expressway queues', and 'department stores reopen 1 or 2 Jan' — no search performed.",,,
389_inbound_cherry-blossom-and-autumn-leaves.md,"'Typical full bloom' dates in the table (Fukuoka ~28 Mar, Tokyo ~30 Mar, Kyoto/Osaka ~2 Apr, Kanazawa ~7 Apr, Sendai ~10 Apr, Sapporo ~1 May). Search budget ran out before checking; reviewer's recollection of JMA 1991–2020 normals is a few days later (Fukuoka/Tokyo 31 Mar, Kyoto/Osaka 4 Apr, Sendai 13 Apr, Sapporo 5 May) — please check against data.jma.go.jp/sakura.",,,
389_inbound_cherry-blossom-and-autumn-leaves.md,"'about 10 days earlier than in 1953', 'within 2–3 days' forecast accuracy, and 'a week per 300 km' northward progression — not verified.",,,
390_inbound_photography-etiquette.md,"Kamakura, Fujikawaguchiko and Biei restrictions/viewpoint removals — plausible (Fujikawaguchiko Lawson screen 2024) but not searched. 'JR posts manner rules after incidents with rail fans' not searched.",,,
441_inbound_travelling-with-children.md,"Liquid formula 'since 2019' (approved Aug 2018, on sale March 2019 — from memory), 'Mamamap' app, mixed-gender bathing age limits 'often 6–7', 'children under 6 free at most museums' — not searched.",,,
442_inbound_accessible-travel.md,'Universal-design taxis are now a large share of Tokyo's fleet' and JNTO/Japan Ryokan & Hotel Association lists of accessible ryokan — not searched.,,,
443_inbound_lost-property.md,"'JR East has an English lost-and-found phone line and online form' — JR East has an English infoline and a lost-property inquiry form, but English availability of the form was not confirmed.",,,
444_inbound_atms-and-cash-withdrawal.md,"'Seven Bank 27,000+ machines' (roughly right, ~28,000) and 'Aeon Bank ATMs in some FamilyMart' (FamilyMart mostly hosts E-net and Japan Post ATMs; Aeon Bank ATMs are in Aeon malls/Ministop) — not searched. Lawson Bank fee ¥110–220 not confirmed.",,,
445_inbound_dining-alone-and-counter-culture.md,'Daily solo eating at 30–40% of adults' (private polls) and all price ranges — not verifiable against official sources.,,,
446_inbound_buying-electronics-and-cameras.md,Big-chain points programmes (10% points) are 'not usable by tourists in most cases' — several chains do issue point cards to visitors but pay reduced/no points on tax-free purchases; wording may overstate.,,,
446_inbound_buying-electronics-and-cameras.md,Tourist discount coupon 5–7% stackable with tax-free at major chains (commonly 7% at Bic Camera/Yodobashi; check current terms).,,,
446_inbound_buying-electronics-and-cameras.md,July 2025 MLIT power-bank cabin-storage rule (no overhead bin) — search budget exhausted before verification.,,,
447_inbound_japanese-hospitals-for-visitors.md,'hospitals may charge visitors 200–300% of the schedule since 2016' — the year 2016 and the multiplier were not verified; MHLW guidance on pricing for uninsured foreign patients dates from 2019–2020.,,,
447_inbound_japanese-hospitals-for-visitors.md,"Clinic price bands (¥5,000–15,000; international clinics ¥10,000–30,000; ER ¥20,000–100,000+) — plausible but no source found.",,,
447_inbound_japanese-hospitals-for-visitors.md,#7119 coverage described as 'Tokyo and many regions' — FDMA coverage map not checked; not yet nationwide.,,,
447_inbound_japanese-hospitals-for-visitors.md,2026 fee-schedule revision value for the initial consultation fee (初診料) — the 291-point 2024 figure was confirmed; the 2026 revised figure was not.,,,
448_inbound_ryokan-and-hotel-cancellation-rules.md,"Typical ryokan/hotel cancellation percentage schedules (7 days 20%, 3 days 30–50%, day before 50–80%, same day 80–100%) — not checked against the JTA model accommodation terms (モデル宿泊約款); hotel model terms commonly show day-before 20%, same day 80%, no-show 100%.",,,
448_inbound_ryokan-and-hotel-cancellation-rules.md,Consumer Contract Act Article 9 'average actual loss' cap wording — consistent with the Act but not re-verified.,,,
449_inbound_tattoos-gyms-and-pools.md,Supreme Court decision of 16 September 2020 that tattooing is not a medical act (Medical Practitioners Act) — consistent with editor knowledge; search budget exhausted before verification.,,,
449_inbound_tattoos-gyms-and-pools.md,"Japan Tourism Agency March 2016 request to bathing facilities on tattooed foreign visitors (stickers, private baths) — consistent with editor knowledge; not verified this pass.",,,
449_inbound_tattoos-gyms-and-pools.md,'About 1.4 million Japanese adults have tattoos (2014 estimate)' — source/methodology not found; the Kansai Gaidai (Yamamoto) 2014 survey is the likely origin but the figure should be checked.,,,
449_inbound_tattoos-gyms-and-pools.md,Zushi (Kanagawa) beach ordinance banning exposed tattoos (2014) — consistent with editor knowledge; not verified this pass.,,,
449_inbound_tattoos-gyms-and-pools.md,"Cover patch price ¥500–1,000 at drugstores.",,,
450_inbound_gift-wrapping-and-omiyage-etiquette-for-visitors.md,Omiyage market 'over ¥1 trillion a year' — no source found.,,,
450_inbound_gift-wrapping-and-omiyage-etiquette-for-visitors.md,Origin of omiyage in Edo-period pilgrimages (Ise) — widely stated; no primary source.,,,
501_inbound_cycling-rules-for-visitors.md,"Exact blue-ticket amounts for umbrella riding, pavement riding, no lights (search snippet gave ¥3,000 for no lights; other secondary sources give ¥5,000), two abreast and earphones — confirm against the NPA table before publication.",,,
501_inbound_cycling-rules-for-visitors.md,About 70 million bicycles in Japan.,,,
501_inbound_cycling-rules-for-visitors.md,"Impound recovery fee ¥2,000–5,000 (Tokyo wards typically ¥3,000–5,000) and parking ¥100–200/day.",,,
501_inbound_cycling-rules-for-visitors.md,"Share-cycle prices: Docomo Bike Share ¥165/30 min, HELLO CYCLING ¥130/30 min, day passes ¥1,500–2,000; LUUP pricing — check current operator apps.",,,
501_inbound_cycling-rules-for-visitors.md,"Court award 'over ¥90 million' against a cyclist (Kobe District Court 2013, about ¥95 million) — consistent with editor knowledge; not verified this pass.",,,
501_inbound_cycling-rules-for-visitors.md,Compulsory bicycle liability insurance in 'most prefectures' — as of 2025 roughly 35 prefectures mandate it; not re-verified.,,,
502_inbound_climbing-mount-fuji-safely.md,Yoshida trail carries ~60% of climbers — MOE 2025 per-route breakdown not retrieved (2024 share was roughly 55–60%).,,,
502_inbound_climbing-mount-fuji-safely.md,Altitude sickness 'in perhaps one in three climbers' — no prefectural figure found.,,,
502_inbound_climbing-mount-fuji-safely.md,"Hut prices ¥10,000–15,000 with two meals; toilets ¥200–300; rental kits ¥5,000–10,000 — 2026 hut tariffs not checked.",,,
503_inbound_beaches-and-swimming-safety.md,"'Around 1,000 official bathing beaches' — MOE water-quality survey covers several hundred 水浴場 (sea and lake); number not verified.",,,
503_inbound_beaches-and-swimming-safety.md,"Flag colours 'Red: no swimming. Yellow: caution. Green/white: swim' — Japanese beaches typically use red (遊泳禁止), yellow (遊泳注意) and blue/green (遊泳可), plus red-yellow patrol flags; 'white' is doubtful.",,,
503_inbound_beaches-and-swimming-safety.md,Alcohol bans at Zushi and Kamakura 'since 2014-era ordinances' — Zushi 2014 ordinance is a full ban; Kamakura's 2014 manners ordinance restricts excessive drinking rather than banning alcohol outright; not verified this pass.,,,
503_inbound_beaches-and-swimming-safety.md,UV index 8–11 in August; hut/locker prices.,,,
504_inbound_snow-country-and-winter-sports.md,"Aomori city 'nearly 8 metres' / '7–8 m' average snowfall — JMA 1991–2020 normal for Aomori is lower (roughly 6–7 m); Sapporo ~4.8 m normal (article says ~5 m, fine). Recommend 'about 6–7 m, up to 8 m in heavy years'.",,,
504_inbound_snow-country-and-winter-sports.md,"Niseko 10–15 m per season; Sapporo Snow Festival 2 million visitors; roof-snow deaths 'several each winter'; heli rescue ¥500,000+.",,,
504_inbound_snow-country-and-winter-sports.md,'Avalanche deaths of foreign skiers occur most years' — plausible from news coverage; no statistic checked.,,,
505_inbound_restaurant-hours-and-last-orders.md,"Typical hour patterns, two-seating claim for sushi/kaiseki, 90–120 min seating limits, and that Google Maps hours are 'often wrong' — all editorial generalisations with no checkable source.",,,
505_inbound_restaurant-hours-and-last-orders.md,JNTO URL https://www.japan.travel/en/guide/dining-etiquette/ exists and covers hours/reservations.,,,
506_inbound_sake-shochu-and-drinking-rules.md,Shōchū genshu 'up to 45%' and awamori '25–43%' against NTA liquor-tax definitions (honkaku shōchū cap 45%; awamori hanazake can exceed 43%).,,,
506_inbound_sake-shochu-and-drinking-rules.md,"Otōshi ¥300–500 and nomihōdai ¥1,500–3,000 typical prices (2026).",,,
506_inbound_sake-shochu-and-drinking-rules.md,Alcohol vending machines 'few since the 1990s age-verification rules' (industry self-restraint from 1995/2000).,,,
507_inbound_oversized-luggage-on-shinkansen.md,"Hokuriku (incl. Tsuruga extension), Tōhoku, Hokkaidō, Jōetsu, Akita, Yamagata shinkansen have NOT adopted the oversized-baggage reservation rule as of Sep 2026 — search was refused before this could be checked.",,,
507_inbound_oversized-luggage-on-shinkansen.md,"Takkyūbin hotel-to-hotel suitcase forwarding ¥2,000–3,000 per case (Yamato 2025–26 rates).",,,
507_inbound_oversized-luggage-on-shinkansen.md,"Exemptions list (strollers, wheelchairs, musical instruments, sports equipment) exactly as on JR Central's page.",,,
508_inbound_vacation-rentals-and-minpaku-rules.md,Osaka special-zone minpaku wind-down: exact date new certifications stop and whether existing certifications continue.,,,
508_inbound_vacation-rentals-and-minpaku-rules.md,Shinjuku (Mon 12:00–Fri 12:00 ban in residential zones) and Nakano weekday restrictions still in force; Ōta special zone minimum stay 2 nights.,,,
508_inbound_vacation-rentals-and-minpaku-rules.md,Kyoto ordinance exact wording of residential-zone period and manager-distance rule.,,,
508_inbound_vacation-rentals-and-minpaku-rules.md,JTA minpaku portal English URL https://www.mlit.go.jp/kankocho/minpaku/en/.,,,
509_inbound_emergency-numbers-and-police-boxes.md,"#7119 coverage list (Tokyo, Osaka, Saitama, Sapporo, Yokohama 'and others') and availability of English on #7119.",,,
509_inbound_emergency-numbers-and-police-boxes.md,Japan Visitor Hotline 050-3816-2787 still operating 24h in English/Chinese/Korean (believed correct).,,,
