記事番号,棚,ファイル名,確認が必要な記述,検出バッチ,確認結果（OK／要修正）,確認者,確認日
035,wisdom,035_wisdom_indoor-drying.md,「五時間」の一次情報。花王の公表資料に5時間という記載があるかは確認できず、消費者向け記事にのみ見られる。,jr_005,,,
036,fashion,036_fashion_care-labels.md,旧JIS L0217が22種類であること。2016年12月1日のJIS L0001が41種類であることは2024年改正で「2種類増えて43種類」という記述から逆算して整合するが、22種類は一次情報で未確認。,jr_005,,,
036,fashion,036_fashion_care-labels.md,桶の中の数字が30・40・50・60・70・95の6種であること（2024年改正後に手洗い30℃記号が加わった影響を含む）。,jr_005,,,
037,health,037_health_desk-posture.md,令和3年12月1日の一部改正以降、2022〜2026年に追加の改正がないか。,jr_005,,,
037,health,037_health_desk-posture.md,誤解4の「画面上端が目の高さ付近」および「ガイドラインは視距離についても目安を示しています」——ガイドライン原文の表現（おおむね40cm以上等）は未確認。,jr_005,,,
038,trend,038_trend_brewing-coffee.md,「味の劣化の主因は焙煎で表面に出たコーヒーオイルの酸化」という因果の断定。油脂成分の酸化が関与することは複数の解説にあるが、主因と断定する一次情報を確認できず。,jr_006,,,
038,trend,038_trend_brewing-coffee.md,キーコーヒーの当該ページが「豆約1か月・粉約2週間」と記載しているか。検索スニペットでは常温未開封で数日〜1週間、密閉常温で10日程度、冷凍で1か月以上という別の数値が示されており、本文の数値と一致しない可能性がある。,jr_006,,,
038,trend,038_trend_brewing-coffee.md,抽出温度90〜95℃（注ぎ始め95℃、終わり90℃程度）が全日本コーヒー協会の案内かどうか。協会ページの本文を確認できず。業界一般では92〜96℃とする記述が多く、範囲としては矛盾しない。,jr_006,,,
040,wisdom,040_wisdom_the-rainy-season.md,北海道は梅雨の対象地域として発表されない、という記述（気象庁は北海道と小笠原諸島について梅雨入り・明けを発表しないとされるが、一次情報で未確認）。,jr_006,,,
040,wisdom,040_wisdom_the-rainy-season.md,梅雨が稲作の用水・ダム貯水の観点で必要という記述の一次情報（農林水産省資料）。,jr_006,,,
040,wisdom,040_wisdom_the-rainy-season.md,気象庁の梅雨入り・梅雨明けページのURL（https://www.data.jma.go.jp/cpd/baiu/）が現在も有効か。2024〜2026年に気象庁サイトの再編があり得るため要確認。,jr_006,,,
041,fashion,041_fashion_indoor-drying.md,「モラクセラ菌は人の常在菌で、皮脂や水分を栄養にして増える」という説明の一次情報（花王の公表資料）。,jr_006,,,
042,health,042_health_bath-temperature.md,「湯温41℃以下・10分まで」の現行の出典ページ。複数の二次情報と消費者庁の過去の注意喚起で確認できたが、最新（令和7年12月23日）の注意喚起でも同じ目安が維持されているかは未確認。,jr_006,,,
042,health,042_health_bath-temperature.md,"令和6年データ（浴槽内での溺死及び溺水7,776人、うち65歳以上7,363人）が、記事の表と同じ区分（65歳以上の不慮の溺死及び溺水の総数／家や居住施設の浴槽）で示されているか。区分が異なるため、そのまま置き換えられるかは原文確認が必要。",jr_006,,,
043,trend,043_trend_storing-rice.md,「春〜夏は精米後1か月以内、秋〜冬は2か月以内」「長くても45日以内」という業界の案内の出典（記事中に該当する出典の記載がない）。,jr_006,,,
043,trend,043_trend_storing-rice.md,冷蔵庫の野菜室での保存が常温より保存期間を延ばすという記述の一次情報。,jr_006,,,
043,trend,043_trend_storing-rice.md,消費者庁「食品表示に関する情報」ページが本文のどの記述に対応しているか（本文に食品表示に関する記述がなく、出典と本文が対応していない可能性）。,jr_006,,,
043,trend,043_trend_storing-rice.md,農林水産省「こどもそうだん」ページ（https://www.maff.go.jp/j/heya/kodomo_sodan/0006/01.html）が現在も存在し、「1か月くらいが目安」と記載しているか。検索予算を使い切ったため未確認。,jr_006,,,
045,wisdom,045_wisdom_seasonal-food.md,"ALIC's ""Vegetan"" URL https://vegetan.alic.go.jp/price-trends/changes-arrivals-prices.html — the English-looking path is unusual for a go.jp site and was not verified. Also unverified: that Vegetan covers exactly the Tokyo, Nagoya, Osaka and Fukuoka central markets (it may cover a different or wider set of markets).",jr_007,,,
045,wisdom,045_wisdom_seasonal-food.md,"MAFF's ""Fruit and Vegetable Wholesale Market Survey"" (青果物卸売市場調査) is still an ongoing MAFF statistic available via e-Stat, at https://www.maff.go.jp/j/tokei/kouhyou/seika_orosi/ . The survey may have been discontinued or merged into another MAFF statistic; the URL and the current status of the survey were not verified (web search budget exhausted).",jr_007,,,
045,wisdom,045_wisdom_seasonal-food.md,"Misunderstanding 4: ""Composition varies with variety, growing method and storage. This cannot be stated as a rule."" — the Standard Tables of Food Composition in Japan (日本食品標準成分表2020年版(八訂)、増補2023年) does list separate summer/winter values for some vegetables (e.g. spinach vitamin C), which partly qualifies this statement. Not checked against the current edition.",jr_007,,,
045,wisdom,045_wisdom_seasonal-food.md,Tokyo Metropolitan Central Wholesale Market statistics URL https://www.shijou.metro.tokyo.lg.jp/torihiki/geppo/ and the claim that it publishes both monthly and annual arrivals/price statistics for fruit and vegetables.,jr_007,,,
046,beauty,046_beauty_toner.md,"SCCJ glossary entry ID 487 (https://www.sccj-ifscc.com/library/glossary_detail/487) resolves to the 化粧品用語集 and the TEWL definition — the page and the TEWL content were confirmed by search snippets, but the exact wording ""値が低いほど角層のバリア機能が高い"" is an inversion of SCCJ's phrasing (""肌荒れをするとTEWLの増加が観察される"") and should be checked against the original.",jr_007,,,
046,beauty,046_beauty_toner.md,日本皮膚科学会「皮膚科Q&A」 https://www.dermatol.or.jp/qa/ is listed as a source but no statement in the article is clearly attributed to it; the correspondence between source and text is unverified.,jr_007,,,
047,health,047_health_bath-vs-shower.md,"「湯温41℃以下、湯につかる時間は10分まで」 — matched the 消費者庁 guidance summary in search snippets, but the exact wording in the cited PDF (令和2年11月19日) was not opened and confirmed.",jr_007,,,
048,trend,048_trend_storing-bread.md,"誤解4「凍ったまま焼くほうが、水分が飛びにくい」 — no primary source located; presented as ""とされています"".",jr_007,,,
048,trend,048_trend_storing-bread.md,"誤解5 mould: ""見える部分だけの問題とは限りません"" — the underlying claim (mould hyphae/mycotoxins extend beyond the visible spot in soft foods) was not verified against a MAFF/MHLW page.",jr_007,,,
048,trend,048_trend_storing-bread.md,"農林水産省 https://www.maff.go.jp/j/syouan/ and 厚生労働省 食中毒 https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/shokuhin/syokuchu/ — generic top pages; also note that from April 2024 食品衛生基準行政 moved from MHLW to 消費者庁, so the MHLW food-hygiene URLs may have been reorganised. Not verified.",jr_007,,,
050,wisdom,050_wisdom_the-concept-of-shun.md,"""A shun can last a couple of weeks"" — no public source located for a typical shun window length; presented as a general statement.",jr_007,,,
050,wisdom,050_wisdom_the-concept-of-shun.md,MAFF washoku/food-culture URL https://www.maff.go.jp/j/keikaku/syokubunka/ and the ALIC Vegetan URL (same as in 045) were not verified.,jr_007,,,
051,beauty,051_beauty_sunscreen.md,「実際の使用量は適量の4分の1程度」——化粧品情報サイトでは広く流通する数字だが、一次情報（学会論文・公的調査）の出典を特定できなかった。,jr_008,,,
051,beauty,051_beauty_sunscreen.md,「平均0.56gで理論値の半分程度」——この0.56gという具体値の出所を特定できず。検索では0.3〜0.5g程度という記述が多い。公開前に原典の明示が必要。,jr_008,,,
051,beauty,051_beauty_sunscreen.md,「曇天でも紫外線は晴天時のかなりの割合が届く」——環境省マニュアルに該当記述があるとされるが、PDF本文を開けないため割合（快晴比60%等）を確認できず。,jr_008,,,
051,beauty,051_beauty_sunscreen.md,「顔全体に必要な量の目安は0.7〜0.9g」——一般には「約0.8g（500円玉大）」とされ範囲内だが、公的資料での裏付けは未確認。,jr_008,,,
052,health,052_health_sleep-length.md,「高齢者については、床の上で過ごす時間が長くなりすぎないことにも触れられている」——検索結果のスニペットでは整合するが、ガイド原文の該当箇所は未確認。,jr_008,,,
052,health,052_health_sleep-length.md,日本栄養士会の記事URL /trends/2023/342.html ——公表は2024年2月だがパスが2023年。年度表記か誤リンクか未確認。,jr_008,,,
052,health,052_health_sleep-length.md,日本睡眠学会の解説資料 https://jssr.jp/files/nexus/20250925-02.pdf ——ファイル名の日付（2025-09-25）と『睡眠ガイド2023』（2024年2月策定）の関係を確認できず。URLの生存確認が必要。,jr_008,,,
053,trend,053_trend_storing-vegetables.md,「冷蔵室の温度（2〜5℃）」「野菜室が約3〜8℃」——一般的な家庭用冷蔵庫の設定として妥当な範囲だが、JIS等の一次情報で未確認。,jr_008,,,
053,trend,053_trend_storing-vegetables.md,出典の厚生労働省PDF（pamph01_05.pdf「家庭でできる食中毒予防の6つのポイント」）——URLの生存と、本文（野菜の保存温度）との対応が未確認。本文に食中毒予防の記述はほぼなく、出典として対応が弱い可能性。,jr_008,,,
055,wisdom,055_wisdom_dashi.md,"MAFF ""Our Regional Cuisine"" database (maff.go.jp/j/keikaku/syokubunka/k_ryouri/) ——本文のだし・うま味相乗効果の記述との対応が未確認。",jr_008,,,
056,beauty,056_beauty_how-often-to-wash-face.md,厚生労働省「化粧品の効能の範囲の改正について」（薬食発0721第1号）のPDF URL ——通知番号は平成23年7月21日付と一致すると思われるが、検索枠を使い切ったため未検証。本文に効能の範囲への言及がなく、出典としての対応も弱い。,jr_008,,,
057,health,057_health_caffeine.md,「めまい、心拍数の増加、興奮、不安、震え、不眠」という症状の列挙がファクトシート原文の記述と一致するか。,jr_009,,,
057,health,057_health_caffeine.md,「カフェインレス製品にも微量に含まれることがある」という記述の公的な裏付け。,jr_009,,,
057,health,057_health_caffeine.md,食品安全委員会ファクトシートが子ども（3〜10歳）・青少年（10〜18歳）に「1日3mg/kg体重」を紹介しているという対応関係。EFSAの評価では3mg/kg体重/日だが、同ファクトシートはカナダ保健省の年齢別上限（4〜6歳45mg/日、13歳以上2.5mg/kg体重/日など）も併記しており、どちらを引いているか原文確認が必要。,jr_009,,,
058,trend,058_trend_storing-eggs.md,「サルモネラの増殖に必要な鉄分が卵黄にしかない」「卵黄膜が破れて卵白に鉄分が移るまでの期間を日数と温度の関係式で計算する」という機序の説明。卵白のオボトランスフェリンによる鉄の捕捉が実際の機序であり、原文（高橋モデル）との一致を要確認。,jr_009,,,
058,trend,058_trend_storing-eggs.md,「生食期限の上限21日」に家庭の冷蔵庫での7日間が含まれるという内訳。,jr_009,,,
060,wisdom,060_wisdom_repair-over-replace.md,Claim that repair is 'treated as waste prevention' within the Ministry of the Environment's circular-economy targets — no specific policy document was located; the cited env.go.jp/recycle/ landing page does not evidence it.,jr_009,,,
060,wisdom,060_wisdom_repair-over-replace.md,"Claim that shoe-repair counters, knife-sharpening and alteration shops 'remain common' and that repair infrastructure 'never went away' — no statistic (e.g. METI business-census counts of repair establishments) was found to support it.",jr_009,,,
061,beauty,061_beauty_pore-care.md,「毛穴には括約筋がない」「立毛筋は毛穴の口を閉じるものではない」という構造の説明が、日本皮膚科学会の公表資料で裏付けられるか（記事自身も要検証としている）。,jr_009,,,
061,beauty,061_beauty_pore-care.md,化粧品の効能の範囲が「56項目」であること、および根拠通知が薬食発0721第1号（平成23年7月21日）が最新であること。その後の改正の有無を要確認。,jr_009,,,
061,beauty,061_beauty_pore-care.md,毛穴が目立つ原因として「皮脂の分泌、加齢による皮膚のゆるみ、汚れの蓄積、乾燥」を皮膚科医が挙げているという出典。,jr_009,,,
062,health,062_health_stiff-shoulders.md,e-Stat 第98表のURL（sid=0002041040）は令和4年調査の表。2025年調査に更新する場合は対応する新しい表IDへの差し替えが必要。,jr_009,,,
062,health,062_health_stiff-shoulders.md,情報機器作業ガイドラインの「1時間を超えて続けない」という記述。原文は令和元年7月12日基発0712第3号（令和3年12月1日改正）で「一連続作業時間が1時間を超えないようにし」とされており、引用元PDF（000539603.pdf）が改正後版かどうかの確認が必要。,jr_009,,,
063,trend,063_trend_freezing-tips.md,一般社団法人 日本冷凍食品協会のURL https://www.reishokukyo.or.jp/ と、同協会資料が最大氷結晶生成帯・30分の記述を支持すること,jr_010,,,
063,trend,063_trend_freezing-tips.md,冷凍室はある程度詰まっているほうが温度が安定しやすい、というメーカー案内（具体的なメーカー資料を特定できず）,jr_010,,,
063,trend,063_trend_freezing-tips.md,出典URL https://www.mhlw.go.jp/topics/bukyoku/iyaku/syoku-anzen/dl/pamph01_05.pdf が現在も有効で、記述（−15℃以下、再冷凍を避ける）が同PDF内にあること（go.jp接続不可）,jr_010,,,
063,trend,063_trend_freezing-tips.md,農林水産省 https://www.maff.go.jp/j/syouan/ が「食品の保存に関する情報」のページとして適切か（syouan は消費・安全局のトップ階層で、保存情報の直接のページではない可能性）,jr_010,,,
065,wisdom,065_wisdom_mould-prevention.md,ラベルの体裁「framed white box（白地の枠囲み）」の規定。まぜるな＝黄地に黒縁28ポイント、危険＝赤42ポイントは確認できたが、白地枠囲みの要件は未確認,jr_010,,,
065,wisdom,065_wisdom_mould-prevention.md,漂白剤も同じ表示義務の対象か。記事の出典は zakka_06（住宅用又は家具用の洗浄剤）のみで、漂白剤は雑貨工業品品質表示規程の別項目（item_003）,jr_010,,,
066,beauty,066_beauty_skin-type.md,「別の調査では約6割、20代では約7割」の具体的な調査主体・年（ナリス化粧品等と記事は示唆するが特定できず）,jr_010,,,
066,beauty,066_beauty_skin-type.md,「皮膚科の教科書に項目はなく」という記述の裏付け,jr_010,,,
066,beauty,066_beauty_skin-type.md,日本皮膚科学会「皮膚科Q&A」 https://www.dermatol.or.jp/qa/ に敏感肌に関する該当項目があるか,jr_010,,,
067,health,067_health_eye-strain.md,ガイドラインに記載の照度・視距離の具体的数値（令和3年改正で照度の取扱いが変更されているため、改正後の数値の確認が必須）,jr_010,,,
067,health,067_health_eye-strain.md,ブルーライトに関する学会等の見解（日本眼科学会ほか6団体の見解文書など）を出典に加えられるか,jr_010,,,
067,health,067_health_eye-strain.md,公益財団法人 日本眼科学会 https://www.nichigan.or.jp/ の法人格表記とURLの対応（日本眼科医会 gankaikai.or.jp との混同がないか）,jr_010,,,
068,trend,068_trend_defrosting-tips.md,「冷蔵庫でゆっくり戻すほうがドリップを抑えられる」という記述の公的な裏付け,jr_010,,,
068,trend,068_trend_defrosting-tips.md,厚生労働省パンフレット「下準備」項の逐語（冷蔵庫の中か電子レンジ／気密性の容器に入れて流水／冷凍・解凍の繰り返し）が記事の箇条書きと一致すること（go.jp接続不可）,jr_010,,,
070,wisdom,070_wisdom_cleaning-order.md,"""Dust falls, so cleaning runs top-down and far-to-near"" and the dry-before-wet rule — practical convention, no authoritative source cited or found.",jr_011,,,
070,wisdom,070_wisdom_cleaning-order.md,"The exact wording of the CAA labelling guidance page zakka_06.html (住宅用又は家具用の洗浄剤) — the page exists and covers this category, but the 1.0 ppm threshold text was read from secondary summaries, not the page itself.",jr_011,,,
070,wisdom,070_wisdom_cleaning-order.md,Tokyo Fire Department page on accidents involving household detergents (https://www.tfd.metro.tokyo.lg.jp/lfe/nichijo/detergent.html) — URL could not be confirmed to exist; no figure in the body is attributed to it.,jr_011,,,
071,beauty,071_beauty_dry-skin.md,"""TEWL の値が低いほど角層のバリア機能が高い"" — consistent with standard dermatological usage but not confirmed against a primary Japanese source.",jr_011,,,
071,beauty,071_beauty_dry-skin.md,SCCJ glossary entry for 経表皮水分蒸散量 at https://www.sccj-ifscc.com/library/glossary_detail/487 — entry ID not verified (no search budget remaining).,jr_011,,,
