記事番号,棚,ファイル名,現在の記述,修正案,根拠,出典,検出バッチ,採否,対応日
011,beauty,011_beauty_storing-cosmetics.md,## A. 最大の誤解は「冷やせば長持ちする」です。製品は、表示された条件で3年以上品質が保たれるように作られています。,## A. 最大の誤解は「冷やせば長持ちする」です。使用期限の表示がない製品は、表示された保管条件のもとで、未開封なら3年は品質が保たれる前提で作られています。,「製品は」と全製品を指す書き方だが、3年の前提が成り立つのは使用期限表示が不要な（＝3年以内に変質しないと確認された）未開封品に限られる。記事本文の説明とも整合させる必要がある。,https://www.jcia.org/user/public/faq; https://www.mhlw.go.jp/web/t_doc?dataId=81073000&dataType=0&pageNo=1,jr_001,,
012,health,012_health_bedroom-temperature.md,- 環境省 熱中症予防情報サイト   https://www.wbgt.env.go.jp/,- 環境省 熱中症予防情報サイト   https://www.wbgt.env.go.jp/ - 環境省 デコ活「適切な室温管理について／COOLBIZ」（「28℃」は室温の目安）   https://ondankataisaku.env.go.jp/decokatsu/coolbiz/article/2020_action_detail_004.html,本文の「28℃は設定温度ではない」に対応する出典が一覧にない。環境省デコ活のCOOLBIZページを追加すると本文と出典が対応する。,https://ondankataisaku.env.go.jp/decokatsu/coolbiz/article/2020_action_detail_004.html,jr_001,,
012,health,012_health_bedroom-temperature.md,- 厚生労働省『健康づくりのための睡眠ガイド2023』（2024年2月策定）,- 厚生労働省『健康づくりのための睡眠ガイド2023』（2024年2月策定、2024年9月一部修正）,睡眠ガイド2023は2024年2月策定後、令和6年（2024年）9月18日に一部修正されている。参照する版を明示しておくほうが確認しやすい。,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/suimin/index.html; https://jssr.jp/files/nexus/20250925-02.pdf,jr_001,,
013,trend,013_trend_making-dashi.md,昆布の**グルタミン酸**と、かつお節の**イノシン酸**。この2つを合わせると、うま味の強さは足し算ではなく、**単独の場合の7〜8倍**に感じられることが知られています。,昆布の**グルタミン酸**と、かつお節の**イノシン酸**。この2つを合わせると、うま味の強さは足し算ではなく、配合の比率によっては**単独の場合の最大7〜8倍**に感じられることが知られています。,うま味インフォメーションセンターおよび日本うま味調味料協会は「最大で7〜8倍」と表現しており、倍率は配合比に依存する。記事は無条件の7〜8倍と読める。,https://www.umamiinfo.jp/what/tasting/make-use.html; https://www.umamikyo.gr.jp/knowledge/katsuyou/experience_02.html,jr_002,,
013,trend,013_trend_making-dashi.md,うま味調味料も、同じグルタミン酸を利用したものです。,うま味調味料の主成分はグルタミン酸ナトリウムですが、イノシン酸ナトリウムなど核酸系のうま味物質を加えた製品もあります。,日本うま味調味料協会の説明では、うま味調味料はグルタミン酸ナトリウムを主成分とし、核酸系うま味物質を配合した「複合調味料」タイプも市販されている。「同じグルタミン酸」だけでは不正確。,https://www.umamikyo.gr.jp/knowledge/ingredient.html,jr_002,,
016,beauty,016_beauty_cosmetics-expiry.md,薬機法は、**製造後3年以内に変質するおそれのある化粧品**にだけ使用期限の表示を義務づけています。昭和55年の厚生省告示で、具体的には次の3種類です。,薬機法第61条第5号は、**製造後3年以内に変質するおそれのある化粧品**にだけ使用期限の表示を義務づけています。対象は昭和55年9月26日厚生省告示第166号で指定されており、具体的には次の3種類です。,条番号・告示番号を特定できる。化粧品の法定表示は薬機法第61条第5号、指定は昭和55年9月26日厚生省告示第166号（旧薬事法第50条第14号等の規定に基づく）。,https://www.mhlw.go.jp/web/t_doc?dataId=81073000&dataType=0&pageNo=1; https://www.tmiph.metro.tokyo.lg.jp/k_yakuji/i-kanshi/c_label/,jr_002,,
016,beauty,016_beauty_cosmetics-expiry.md,3年の前提は**未開封**です。開封後は空気にも手にも触れます。**業界の一般的な案内では、開封後は数か月から1年以内を目安に使い切る**こととされています。,3年の前提は**未開封**です。開封後は空気にも手にも触れます。日本化粧品工業会は**開封後は早めに使い切る**よう案内しており、一般には3か月〜1年程度を目安とする説明が多く見られます（製品の種類や剤形によって異なります）。,出典と本文が対応していない。記事が唯一挙げる日本化粧品工業会「化粧品Q&A」は「いったん開封した化粧品は早めに使いきる」としか述べておらず、「数か月〜1年」という数値は示していない。数値は二次資料での一般的な目安。,https://www.jcia.org/user/public/faq; https://syogyo.jp/matome/2025/02/post_040551,jr_002,,
016,beauty,016_beauty_cosmetics-expiry.md,| 適切な保存条件で3年以内に性状・品質が変わるおそれのあるもの | 上記に準ずる |,| 適切な保存条件で3年以内に性状・品質が変わるおそれのあるもの | 成分を問わない包括的な規定 |,告示上、第3類型は第1・2類型の「準ずるもの」ではなく、成分にかかわらず適用される包括規定。「上記に準ずる」は関係を取り違えている。,https://www.mhlw.go.jp/web/t_doc?dataId=81073000&dataType=0&pageNo=1,jr_002,,
017,health,017_health_phone-before-bed.md,眠りに入ったあとの中断は、直接的に睡眠を削ります。**通知を切る効果は確実です。**,眠りに入ったあとの中断は、直接的に睡眠を削ります。**通知を切ることは、取り組みやすく効果が見込める対策です。**,断定が強すぎる。通知オフの効果量を示す一次資料は記事に挙げられていない。記事自身が他節で「数字で言い切れる段階ではない」と述べており、内部で整合しない。,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/suimin/index.html,jr_002,,
017,health,017_health_phone-before-bed.md,## A. 最大の誤解は「光さえ抑えれば大丈夫」です。国の指針は「寝室に持ち込まない」という、光より一段強い行動を挙げています。,## A. 最大の誤解は「光さえ抑えれば大丈夫」です。国の指針は、明るい画面を見ないことに加えて「寝室に持ち込まない」という行動まで挙げています。,睡眠ガイド2023は「持ち込まない」を光対策より強い行動として位置づけてはおらず、理由としてLEDのブルーライトによる体内時計への影響を挙げている。「光より一段強い」は記事側の解釈。,https://www.mhlw.go.jp/content/10904750/001181265.pdf; https://sleep1.jp/https-sleep1-jp-sleep_guides_no2/,jr_002,,
017,health,017_health_phone-before-bed.md,- 厚生労働省『健康づくりのための睡眠ガイド2023』（2024年2月策定）,- 厚生労働省『健康づくりのための睡眠ガイド2023』（2024年2月策定、2024年9月18日一部修正）,2024年2月公表は正しいが、令和6年（2024年）9月18日付で一部修正版が公開されている。引用は修正版に合わせるべき。2026年9月時点でこれが最新版（2025・2026年の改訂はない）。,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/suimin/index.html,jr_002,,
018,trend,018_trend_pan-care.md,ふっ素樹脂（いわゆるテフロン）加工の**連続使用可能温度は約260℃**とされています。これを超えると加工の劣化が始まり、**約350℃では分解ガスが発生するおそれ**があります。,ふっ素樹脂（いわゆるテフロン）加工の**連続使用可能温度は約260℃**とされています。これを超えると加工の劣化が始まり、**350℃前後から熱分解が進み、400℃以上では有害な分解ガスが発生するおそれ**があります（食品安全委員会ファクトシート）。,260℃の連続使用温度は業界資料で確認できる。一方、分解ガスの温度は資料により350℃・360℃・315〜375℃と幅があり、公的な一次資料である食品安全委員会ファクトシートは「400℃以上でHF・COF2等の有害なフュームが発生」としている。単一の「約350℃」は出典を特定しにくい。,https://www.fsc.go.jp/sonota/factsheets/f02_fluorocarbon_polymers.pdf; http://www.jfia.gr.jp/handling.html,jr_002,,
018,trend,018_trend_pan-care.md,**空焚きをすると、フライパンの表面温度は数分でこの温度に達します。**,**空焚きをすると、フライパンの表面温度は短時間でこの範囲まで上がることがあります。**,「数分で」という到達時間を示す公的試験データを確認できなかった。また直前で260℃と350℃の2つの温度を挙げているため「この温度」の指示先が不明確。,https://www.fsc.go.jp/sonota/factsheets/f02_fluorocarbon_polymers.pdf,jr_002,,
018,trend,018_trend_pan-care.md,- 一般社団法人 日本弗素樹脂工業会   https://www.jfia.gr.jp/,- 一般社団法人 日本弗素樹脂工業会「ふっ素樹脂の取扱い」   http://www.jfia.gr.jp/handling.html,日本弗素樹脂工業会のサイトは http://www.jfia.gr.jp/ で提供されており、検索結果でもHTTPSのURLは確認できない。また本文が依拠する温度の記述は「ふっ素樹脂の取扱い」ページおよび取扱マニュアルPDFにあるため、深いリンクのほうが検証しやすい。,http://www.jfia.gr.jp/; http://www.jfia.gr.jp/handling.html; http://www.jfia.gr.jp/pdf/Fluororesin_handling_manual_11.pdf,jr_002,,
018,trend,018_trend_pan-care.md,- 独立行政法人 製品評価技術基盤機構（NITE）製品安全情報   https://www.nite.go.jp/jiko/,- 独立行政法人 製品評価技術基盤機構（NITE）製品安全情報   https://www.nite.go.jp/jiko/ - 内閣府 食品安全委員会「フッ素樹脂」ファクトシート   https://www.fsc.go.jp/sonota/factsheets/f02_fluorocarbon_polymers.pdf,本文の温度・分解ガスの記述を直接裏づける公的一次資料として、食品安全委員会のファクトシートを追加すべき。現行の国民生活センター・NITEはトップ階層URLのみで、記事の主張に対応する注意喚起ページを特定できなかった。,https://www.fsc.go.jp/sonota/factsheets/f02_fluorocarbon_polymers.pdf,jr_002,,
021,fashion,021_fashion_pilling.md,繊維検査機関の資料によると、**「アクリル×綿」「ポリエステル×毛（ウール）」のような混紡**は特に注意が必要とされています。,クリーニング業界団体の資料によると、**「アクリル×綿」「ポリエステル×毛（ウール）」のような混紡**は特に注意が必要とされています。,この組み合わせの記述は東京都クリーニング生活衛生同業組合「毛玉について」に由来。メンケン品質検査協会のコラムはピリングの発生機構とピリング試験（1〜5級の等級判定）の解説が中心で、この組み合わせの記載は確認できなかった。主張自体は正しい。,https://www.tokyo929.or.jp/column/ware/post_23.php; https://menken.jp/column/pilling/,jr_003,,
022,health,022_health_morning-light.md,太陽を直接見る必要はありませんし、**目を痛める危険があります。絶対にしないでください。**,太陽を直接見る必要はありませんし、**目を痛める危険があります。直視は避けてください。**,安全上の注意としては妥当だが、断定表現（禁止語）を含む。強度を保ったまま言い換え可能。,,jr_003,,
025,wisdom,025_wisdom_tenugui.md,**After a few washes the fraying stops on its own.**,"**Trim the loose threads as they appear, and after repeated washes the fraying settles about a centimetre in and stops.**",手ぬぐい製造元の説明では、ほつれた糸を数回カットしながら洗濯を繰り返すことで、生地端から約1cmのところでほつれが落ち着く。「数回の洗濯で自然に止まる」という記述は手入れの工程を省いており不正確。,https://hanten.jp/column/tenugui/tenugui13; https://www.kobe-np.co.jp/rentoku/omoshiro/202208/0015569924.shtml,jr_003,,
025,wisdom,025_wisdom_tenugui.md,- Agency for Cultural Affairs — living culture information   https://www.bunka.go.jp/seisaku/bunkashingikai/kondankaito/seikatsubunka/,- Agency for Cultural Affairs — living culture research (seikatsu bunka)   https://www.bunka.go.jp/tokei_hakusho_shuppan/tokeichosa/seikatsubunka_chosa/index.html,検索で存在を確認できた文化庁の生活文化関連ページは「生活文化調査研究」。記事の bunkashingikai/kondankaito/seikatsubunka/ は現行の「その他の懇談会等」一覧に見当たらず、リンク切れの可能性が高い。,https://www.bunka.go.jp/tokei_hakusho_shuppan/tokeichosa/seikatsubunka_chosa/index.html; https://www.bunka.go.jp/seisaku/bunkashingikai/kondankaito/,jr_003,,
026,fashion,026_fashion_knitwear-washing.md,- 政府広報オンライン「衣替えの季節です。あなたは正しく洗濯していますか？」   https://www.gov-online.go.jp/article/201812/entry-9307.html,- 政府広報オンライン「衣替えの季節です。あなたは正しく洗濯していますか？」（2018年12月掲載／2024年8月の改正前の内容）   https://www.gov-online.go.jp/article/201812/entry-9307.html,当該記事は2018年12月掲載で、41種類時点の内容。記事本文が2024年8月改正後の43種類を前提にしているため、改正前資料である旨を明記しないと出典と本文が対応しない。,https://www.gov-online.go.jp/article/201812/entry-9307.html; https://www.caa.go.jp/policies/policy/representation/household_goods/guide/wash_02.html,jr_004,,
028,trend,028_trend_seasonal-food.md,- **農畜産業振興機構の「ベジ探」**では、東京・名古屋・大阪・福岡の中央卸売市場の入荷量と価格の推移がグラフで見られます。,- **農畜産業振興機構の「ベジ探」**（野菜情報総合把握システム）では、東京・名古屋・大阪・福岡の中央卸売市場における**野菜**の入荷量と価格の推移がグラフで見られます（果実は対象外）。,ベジ探は「野菜情報総合把握システム」で、扱うのは野菜の市況・生産・輸出入等のデータ。直前の項目が「野菜・果物」を扱う東京都の統計であるため、果実も見られると読める現状の書き方は誤解を招く。,https://vegetan.alic.go.jp/other/about-vetain.html; https://vegetan.alic.go.jp/price-trends/changes-arrivals-prices.html,jr_004,,
030,wisdom,030_wisdom_single-purpose-kitchen-tools.md,"- **¥1.11 trillion** — the fiscal-2025 size of the 100-yen shop market (Teikoku Databank), its third straight year above ¥1 trillion. Growth came from the **¥150–¥500 tier**: functional housework items, kitchen tools, DIY goods.","- **¥1.11 trillion** — the projected fiscal-2025 size of the 100-yen shop market (Teikoku Databank, April 2026 outlook), its third straight year above ¥1 trillion. Growth came from the **¥150–¥500 tier**: functional housework items, kitchen tools, DIY goods.",帝国データバンクの当該調査は「2025年度見通し」で、約1兆1100億円は見込み値。確定値のように書かない方が正確（3年連続1兆円超、150〜500円帯が成長を牽引という点は一致）。,https://www.tdb.co.jp/report/industry/20260402-100yenshop25y/; https://prtimes.jp/main/html/rd/p/000001304.000043465.html; https://www.itmedia.co.jp/business/articles/2604/06/news024.html,jr_004,,
031,fashion,031_fashion_leather-shoe-care.md,型崩れを防ぐだけでなく、**中に溜まった湿気を取り除く役割**があります。特に木製のものが勧められています。脱いだ直後に入れるのが目安です。,型崩れを防ぐだけでなく、**中に溜まった湿気を取り除く役割**があります。特に木製のものが勧められています。入れる時機は、脱いだ直後とする案内と、湿気が強い日は少し乾かしてからとする案内があり、見解が分かれます。,脱いだ直後は靴内の湿度が高く、詰め物が汗の蒸発を妨げるため少し湿気を飛ばしてから入れる方がよい、という案内も複数ある。「脱いだ直後が目安」と断定するのは精度不足。,https://kame-maru.com/shoe-tree; https://leatherabout15.com/leave-shoe-tree/; https://shoeslife.jp/topics/shoetree01/,jr_004,,
032,health,032_health_hydration.md,## A. 最大の誤解は「飲み物で2リットル」です。厚生労働省の資料では、成人男性が1日に得る水分2.5リットルのうち、飲み水は1.2リットルです。,## A. 最大の誤解は「飲み物で2リットル」です。「健康のため水を飲もう」推進運動の資料では、成人男性が1日に得る水分2.5リットルのうち、飲み水は1.2リットルです。,リード・A見出し・本文の3か所が「厚生労働省の資料」としているが、水道行政移管（2024年4月）後の所管は国土交通省・環境省。運動名で呼ぶほうが年次に左右されない。,https://www.env.go.jp/water/water_supply/nomou/index.html; https://suido.suido-gesuido-media.jp/article/2024-04-01/21821,jr_005,,
032,health,032_health_hydration.md,「1日2リットル」という数字が世界中で独り歩きしています。厚生労働省の資料は、もっと細かい内訳を示しています。,「1日2リットル」という数字が世界中で独り歩きしています。「健康のため水を飲もう」推進運動の資料は、もっと細かい内訳を示しています。,同上。水道行政は2024年4月に厚生労働省から国土交通省・環境省へ移管されており、「厚生労働省の資料」という帰属は現在の所管と一致しない。,https://suido.suido-gesuido-media.jp/article/2024-04-01/21821; https://www.env.go.jp/water/water_supply/nomou/index.html,jr_005,,
032,health,032_health_hydration.md,- 厚生労働省『日本人の食事摂取基準』   https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/eiyou/syokuji_kijyun.html,- 厚生労働省『日本人の食事摂取基準（2025年版）』（令和7年度〜令和11年度適用）   https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/eiyou/syokuji_kijyun.html,食事摂取基準は5年ごとに改定され、本文が「指標は設けられていません」と断定する以上、参照した版年の明示が必要。今回は検索枠を使い切り版年を一次情報で確認できていないため、公開前に版年と水分の記載の有無を原文で確認のこと。,https://www.mhlw.go.jp/stf/seisakunitsuite/bunya/kenkou_iryou/kenkou/eiyou/syokuji_kijyun.html,jr_005,,
033,trend,033_trend_regional-cuisine.md,"郷土料理は「観光地のごちそう」として紹介されがちですが、国が1,365品目を集めたデータベースを見ると、成り立ちは逆のことが多いと分かります。","郷土料理は「観光地のごちそう」として紹介されがちですが、国が2022年3月までに1,365品目を集めたデータベースを見ると、成り立ちは逆のことが多いと分かります。","1,365品目は2022年3月29日の農林水産省報道発表（20都府県579品を追加して全47都道府県が揃った時点）の数字。データベースはその後も更新されうるため、時点を明示するのが安全。品目数・年次自体は報道発表と一致。",https://www.maff.go.jp/j/press/shokuhin/wasyoku/220329.html; https://washokujapan.jp/info/info-20220329/,jr_005,,
033,trend,033_trend_regional-cuisine.md,- 一般社団法人 和食文化国民会議   https://washokujapan.jp/,- 一般社団法人 和食文化国民会議「『うちの郷土料理』（農林水産省Webサイト）完成のお知らせ」（2022年3月29日）   https://washokujapan.jp/info/info-20220329/,団体トップページでは本文のどの記述にも対応しない。同団体が出している当該データベース完成の告知ページを示すほうが本文と対応する。,https://washokujapan.jp/info/info-20220329/,jr_005,,
035,wisdom,035_wisdom_indoor-drying.md,> **[Verify]** The 2011 finding and the five-hour figure are widely reported citing Kao's research. Confirm against Kao's published material before publication.,"> **[Verify]** The 2011 finding is Kao's joint research with Aichi Gakuin University, presented at the 2011 meeting of the Japan Society for Bioscience, Biotechnology and Agrochemistry. The five-hour figure is reported secondhand and has no located primary source. Confirm both against Kao's publishe",現行の検証注記は「花王の研究として広く報じられている」としているが、5時間の数字の出所と2011年研究の共同研究者を検証者に伝えたほうが確認作業が早い。,https://news.mynavi.jp/article/20110526-a056/; https://snkrdunk.com/articles/20683/,jr_005,,
035,wisdom,035_wisdom_indoor-drying.md,- Kao Corporation — research on the cause of indoor-drying odour (2011)   https://www.kao.com/jp/,"- Kao Corporation / Aichi Gakuin University — research on the cause of indoor-drying odour (2011); reported via Nikkei, 2011   https://www.nikkei.com/article/DGXNASGG2800A_Z10C11A6TJM000/",出典URLが花王のコーポレートトップページで、該当研究の資料を指していない。本文の根拠にあたるページを直接示す必要がある。,https://www.nikkei.com/article/DGXNASGG2800A_Z10C11A6TJM000/; https://news.e-expo.net/release/2011/05/post-170-25.html/,jr_005,,
035,wisdom,035_wisdom_indoor-drying.md,- Consumer Affairs Agency — household product labelling   https://www.caa.go.jp/policies/policy/representation/household_goods/,,この出典に対応する記述が本文に一つもない（洗濯表示・家庭用品品質表示に触れていない）。厚生労働省の「室内環境と健康」も同様に本文の主張と結びついていないため、対応する記述を足すか、出典から外す。,https://www.caa.go.jp/policies/policy/representation/household_goods/guide/wash_02.html,jr_005,,
036,fashion,036_fashion_care-labels.md,基本の記号は**5つ**——洗濯（桶）、漂白（三角）、乾燥（四角）、アイロン、クリーニング（円）。これに付加記号を組み合わせます。,基本の記号は**5つ**——洗濯（桶）、漂白（三角）、乾燥（四角）、アイロン、クリーニング（円）。これに付加記号を組み合わせます。2024年の改正では、手洗い30℃の記号とスチームなしアイロンの記号が加わり、アイロンの上限温度表記も110/150/200℃から120/160/210℃に変わりました。**旧記号の経過措置は2025年8月19日で終了しています。**,JIS L 0001:2024（2024年8月20日公示）は記号2種の追加で43種類とし、アイロンの上限温度を120/160/210℃に変更。旧記号の経過措置は2025年8月19日終了。記事は種類数だけを示し、実務上重要な改正内容と経過措置終了に触れていない。,https://www.meti.go.jp/press/2024/08/20240820001/20240820001-3r.pdf; https://www.kaken.or.jp/carelabel2024; https://webdesk.jsa.or.jp/common/W10K0620?id=1297,jr_005,,
036,fashion,036_fashion_care-labels.md,## 誤解2｜桶の中の数字は温度ではない,## 誤解2｜桶の中の数字は洗濯コースの番号,他の見出しは誤解の内容をそのまま述べる形式だが、この見出しだけ否定形のため、直後の本文（数字は上限温度）と読み手には矛盾して見える。内部の整合性の問題。,https://www.caa.go.jp/policies/policy/representation/household_goods/guide/wash_01.html,jr_005,,
037,health,037_health_desk-posture.md,- 厚生労働省 同ガイドライン リーフレット   https://www.mhlw.go.jp/content/000580827.pdf,- 厚生労働省 同ガイドライン リーフレット（令和元年公表版。令和3年12月の一部改正内容は未反映の可能性があるため、本文PDFと併せて確認）   https://www.mhlw.go.jp/content/000580827.pdf,000580827.pdf は令和元年7月の策定時に公表されたリーフレットで、令和3年改正（照度等）の反映状況が確認できない。,https://www.mhlw.go.jp/content/000580827.pdf; https://www.hyogos.johas.go.jp/news/20211215-3/,jr_005,,
037,health,037_health_desk-posture.md,## A. 最大の誤解は「正しい姿勢を保ち続ければよい」です。国のガイドラインは「1時間を超えて続けない」「10〜15分休む」と、時間で区切っています。,## A. 最大の誤解は「正しい姿勢を保ち続ければよい」です。国のガイドラインは、一連続作業時間が「1時間を超えないように」し、次の作業までに「10〜15分」の休止を設けるよう指導する、と時間で区切っています。,ガイドライン本文は「一連続作業時間が1時間を超えないようにし…10分～15分の作業休止時間を設け…るよう指導すること」という事業者への指導事項であり、一律の禁止規定ではない。断定的な要約は読者に義務規定と誤解させうる。,https://www.mhlw.go.jp/content/000539603.pdf; https://www.rodo.co.jp/faq/76700/,jr_005,,
038,trend,038_trend_brewing-coffee.md,- 内閣府 食品安全委員会「食品中のカフェイン」ファクトシート   https://www.fsc.go.jp/factsheets/index.data/factsheets_caffeine.pdf,- 内閣府 食品安全委員会「食品中のカフェイン」ファクトシート（作成：平成23年3月31日／最終更新：平成30年2月23日）   https://www.fsc.go.jp/factsheets/index.data/factsheets_caffeine.pdf,URLは有効で、当該PDFの表紙に「作成日：平成23年3月31日」「最終更新日：平成30年2月23日」と記載。版年を明記しないと古い資料かどうか読者が判断できない。なお本文にカフェインの記述はなく、この出典は末尾の注意書きにのみ対応している。,https://www.fsc.go.jp/factsheets/index.data/factsheets_caffeine.pdf,jr_006,,
